# NPCI UPI per-application statistics - hand-seeded.
#
# WHY THIS FILE EXISTS: npci.org.in serves HTTP 403 to every scripted request.
# These rows were read from the "UPI Applications" tab of the NPCI Ecosystem
# Statistics page in a real browser session on 2026-08-21. See docs/REFRESH.md.
#
# WHAT IT IS: monthly volume and value for the ten largest UPI apps. This is the
# only open source that attributes UPI activity to a PLAYER - PhonePe Pulse is
# PhonePe-only and the headline NPCI series is market-total.
#
# COVERAGE LIMIT: NPCI renders only 10 rows and offers no pagination, so this is
# the top ten by volume, not the full field. Shares are therefore computed
# against the NPCI NATIONAL monthly total (data/processed/upi_monthly.csv), not
# against the sum of these rows - which also yields an honest "everyone else"
# residual rather than pretending the ten apps are the whole market.
#
# WHY THE SERIES STARTS 2023-12: for earlier months NPCI renders the same capped
# ten rows ALPHABETICALLY rather than by size, so PhonePe is not even present in
# December 2022. Those months are unusable, not merely inconvenient.
#
# App names are transcribed VERBATIM and drift over time ("Phone Pe" / "PhonePe",
# "Fampay" / "FamApp by Trio"). Normalisation happens in fetch_upi_apps.py so the
# raw record stays checkable against the source. A trailing "#" is NPCI's own
# marker for a third-party application provider (TPAP).
#
# Units: volume_mn = million transactions; value_cr = INR crore.

month,app_raw,volume_mn,value_cr,source_url,accessed
2024-06,ICICI Bank Apps,51.65,29996.18,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,FamApp by Trio #,50.78,641.36,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Kotak Mahindra Bank Apps,42.65,6073.08,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,WhatsApp #,37.18,2923.79,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,PhonePe #,7984.05,1176300.32,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Google Pay #,6140.47,822598.36,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Paytm #,1150.96,125739.66,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Navi #,202.53,11317.09,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Cred #,143.07,50979.94,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Axis Bank Apps,128.36,6159.9,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,super.money #,101.81,3866.39,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,Amazon Pay #,91.94,9330.97,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,FamApp by Trio #,75.74,870.68,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-12,ICICI Bank Apps,61.86,21904.55,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Phone Pe #,8547.04,1198690.03,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Google Pay #,6540.92,840931.06,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Paytm #,1269.16,134171.16,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Navi #,406.01,21814.51,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,super.money #,218.96,7716.48,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Cred #,138.32,51384.11,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Axis Bank Apps,126.27,9388.51,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,FamApp by Trio #,112.75,1439.64,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,Amazon Pay #,93.25,9942.48,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-06,BHIM,73.07,11725.85,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Phone Pe #,9799.14,1360501.94,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Google Pay #,7311.67,956693.92,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Paytm #,1624.45,175716.1,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Navi #,671.89,35715.89,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,super.money #,286.86,11745.61,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,FamApp by Trio #,159.05,2007.01,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Cred #,157.25,59073.03,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,BHIM,155.75,20246.97,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Axis Bank Apps,144.75,13612.02,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2025-12,Whatsapp #,100.45,7399.16,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Phone Pe #,9913.63,1377458.79,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Google Pay #,7229.11,956985.04,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Paytm #,1659.49,181973.34,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Navi #,709.26,37955.69,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,super.money #,298.41,12546.39,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,BHIM,172.07,22025.89,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,FamApp by Trio #,161.18,2038.12,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Cred #,156.86,58840.62,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Axis Bank Apps,152.6,13206.89,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-01,Whatsapp #,112.65,8358.21,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
