date,ticker,bank,cohort,close
2026-08-10,BANKBARODA.NS,Bank of Baroda,Public,247.80999755859375
2026-08-11,BANKBARODA.NS,Bank of Baroda,Public,246.1999969482422
2026-08-12,BANKBARODA.NS,Bank of Baroda,Public,251.0
2026-08-13,BANKBARODA.NS,Bank of Baroda,Public,248.0
2026-08-14,BANKBARODA.NS,Bank of Baroda,Public,248.22000122070312
2026-08-17,BANKBARODA.NS,Bank of Baroda,Public,246.5500030517578
2026-08-18,BANKBARODA.NS,Bank of Baroda,Public,244.0
2026-08-19,BANKBARODA.NS,Bank of Baroda,Public,245.0
2026-08-20,BANKBARODA.NS,Bank of Baroda,Public,244.5
2026-08-21,BANKBARODA.NS,Bank of Baroda,Public,244.47000122070312
2021-08-23,CANBK.NS,Canara Bank,Public,25.88191795349121
2021-08-24,CANBK.NS,Canara Bank,Public,26.355880737304688
2021-08-25,CANBK.NS,Canara Bank,Public,25.56875991821289
2021-08-26,CANBK.NS,Canara Bank,Public,25.873451232910156
2021-08-27,CANBK.NS,Canara Bank,Public,25.6618595123291
2021-08-30,CANBK.NS,Canara Bank,Public,26.27971076965332
2021-08-31,CANBK.NS,Canara Bank,Public,26.931411743164062
2021-09-01,CANBK.NS,Canara Bank,Public,27.26149559020996
2021-09-02,CANBK.NS,Canara Bank,Public,26.931411743164062
2021-09-03,CANBK.NS,Canara Bank,Public,27.20224952697754
2021-09-06,CANBK.NS,Canara Bank,Public,27.092222213745117
2021-09-07,CANBK.NS,Canara Bank,Public,26.42359161376953
2021-09-08,CANBK.NS,Canara Bank,Public,26.70289421081543
2021-09-09,CANBK.NS,Canara Bank,Public,26.66057586669922
2021-09-13,CANBK.NS,Canara Bank,Public,26.542083740234375
2021-09-14,CANBK.NS,Canara Bank,Public,26.27971076965332
2021-09-15,CANBK.NS,Canara Bank,Public,27.354597091674805
2021-09-16,CANBK.NS,Canara Bank,Public,28.226354598999023
2021-09-17,CANBK.NS,Canara Bank,Public,27.54926109313965
2021-09-20,CANBK.NS,Canara Bank,Public,26.22892951965332
2021-09-21,CANBK.NS,Canara Bank,Public,26.22892951965332
2021-09-22,CANBK.NS,Canara Bank,Public,26.550548553466797
2021-09-23,CANBK.NS,Canara Bank,Public,27.21917724609375
2021-09-24,CANBK.NS,Canara Bank,Public,26.694429397583008
2021-09-27,CANBK.NS,Canara Bank,Public,27.06683349609375
2021-09-28,CANBK.NS,Canara Bank,Public,27.710071563720703
2021-09-29,CANBK.NS,Canara Bank,Public,28.46333885192871
2021-09-30,CANBK.NS,Canara Bank,Public,29.284313201904297
2021-10-01,CANBK.NS,Canara Bank,Public,29.936016082763672
2021-10-04,CANBK.NS,Canara Bank,Public,30.824703216552734
2021-10-05,CANBK.NS,Canara Bank,Public,30.426910400390625
2021-10-06,CANBK.NS,Canara Bank,Public,29.529762268066406
2021-10-07,CANBK.NS,Canara Bank,Public,29.59747314453125
2021-10-08,CANBK.NS,Canara Bank,Public,30.003726959228516
2021-10-11,CANBK.NS,Canara Bank,Public,29.902164459228516
2021-10-12,CANBK.NS,Canara Bank,Public,31.66260528564453
2021-10-13,CANBK.NS,Canara Bank,Public,31.5864315032959
2021-10-14,CANBK.NS,Canara Bank,Public,32.762882232666016
2021-10-18,CANBK.NS,Canara Bank,Public,33.67695999145508
2021-10-19,CANBK.NS,Canara Bank,Public,32.28045654296875
2021-10-20,CANBK.NS,Canara Bank,Public,33.05911636352539
2021-10-21,CANBK.NS,Canara Bank,Public,33.786991119384766
2021-10-22,CANBK.NS,Canara Bank,Public,33.61771774291992
2021-10-25,CANBK.NS,Canara Bank,Public,34.18478012084961
2021-10-26,CANBK.NS,Canara Bank,Public,32.729026794433594
2021-10-27,CANBK.NS,Canara Bank,Public,33.990116119384766
2021-10-28,CANBK.NS,Canara Bank,Public,33.07604217529297
2021-10-29,CANBK.NS,Canara Bank,Public,36.309165954589844
2021-11-01,CANBK.NS,Canara Bank,Public,36.33455276489258
2021-11-02,CANBK.NS,Canara Bank,Public,37.95957946777344
2021-11-03,CANBK.NS,Canara Bank,Public,38.24734115600586
2021-11-04,CANBK.NS,Canara Bank,Public,38.72977066040039
2021-11-08,CANBK.NS,Canara Bank,Public,41.34505081176758
2021-11-09,CANBK.NS,Canara Bank,Public,41.099605560302734
2021-11-10,CANBK.NS,Canara Bank,Public,39.94008255004883
2021-11-11,CANBK.NS,Canara Bank,Public,39.203739166259766
2021-11-12,CANBK.NS,Canara Bank,Public,39.068321228027344
2021-11-15,CANBK.NS,Canara Bank,Public,38.52664566040039
2021-11-16,CANBK.NS,Canara Bank,Public,37.58717727661133
2021-11-17,CANBK.NS,Canara Bank,Public,37.24863052368164
2021-11-18,CANBK.NS,Canara Bank,Public,37.16399383544922
2021-11-22,CANBK.NS,Canara Bank,Public,35.85212707519531
2021-11-23,CANBK.NS,Canara Bank,Public,36.58000564575195
2021-11-24,CANBK.NS,Canara Bank,Public,36.139892578125
2021-11-25,CANBK.NS,Canara Bank,Public,36.40226745605469
2021-11-26,CANBK.NS,Canara Bank,Public,34.30326843261719
2021-11-29,CANBK.NS,Canara Bank,Public,33.72774124145508
2021-11-30,CANBK.NS,Canara Bank,Public,33.7108154296875
2021-12-01,CANBK.NS,Canara Bank,Public,34.98883056640625
2021-12-02,CANBK.NS,Canara Bank,Public,35.065006256103516
2021-12-03,CANBK.NS,Canara Bank,Public,34.95497512817383
2021-12-06,CANBK.NS,Canara Bank,Public,34.286346435546875
2021-12-07,CANBK.NS,Canara Bank,Public,35.4035530090332
2021-12-08,CANBK.NS,Canara Bank,Public,36.343017578125
2021-12-09,CANBK.NS,Canara Bank,Public,36.393798828125
2021-12-10,CANBK.NS,Canara Bank,Public,37.60410690307617
