year,quarter,period,state,count,amount_inr,avg_ticket_inr
2018,3,2018Q3,bihar,16507213,23175783209.3531,1403.9791701575002
2018,3,2018Q3,chandigarh,417919,971597704.0881219,2324.8469298790483
2018,3,2018Q3,chhattisgarh,4512546,7219788715.082321,1599.9368682518298
2018,3,2018Q3,dadra & nagar haveli & daman & diu,327117,494728286.08063436,1512.3894083176183
2018,3,2018Q3,delhi,12574966,19957898704.19008,1587.1135320914648
2018,3,2018Q3,goa,376513,784750606.0741248,2084.258992582261
2018,3,2018Q3,gujarat,12242103,18865469253.16249,1541.0317372074464
2018,3,2018Q3,haryana,9035319,17864845143.183334,1977.2235095610165
2018,3,2018Q3,himachal pradesh,983069,1754538049.2417238,1784.7557488250811
2018,3,2018Q3,jammu & kashmir,1277209,2141341083.7828207,1676.5784486194668
2018,3,2018Q3,jharkhand,9200318,9973432389.379925,1084.0312681996345
2018,3,2018Q3,karnataka,23401492,43888971406.79382,1875.4774869394578
2018,3,2018Q3,kerala,3089723,5223931290.203843,1690.7442156477598
2018,3,2018Q3,ladakh,30349,97489777.85152242,3212.2896257379953
2018,3,2018Q3,lakshadweep,2676,7647500.449565986,2857.810332423762
2018,3,2018Q3,madhya pradesh,18062698,25331787718.834587,1402.4365418075743
2018,3,2018Q3,maharashtra,30786153,50334957437.10378,1634.9869188626387
2018,3,2018Q3,manipur,219782,436231935.4022121,1984.839228882311
2018,3,2018Q3,meghalaya,123884,233167830.81494468,1882.1464500253842
2018,3,2018Q3,mizoram,45614,129714622.12975365,2843.745826495235
2018,3,2018Q3,nagaland,117956,289452939.43801266,2453.9060279935966
2018,3,2018Q3,odisha,33773146,26439174825.05436,782.8460761415107
2018,3,2018Q3,puducherry,186869,415949662.45048106,2225.889058380368
2018,3,2018Q3,punjab,3874407,7787076149.215161,2009.875614310825
2018,3,2018Q3,rajasthan,16464948,27314548840.20022,1658.9514185043413
2018,3,2018Q3,sikkim,124034,264307338.56030768,2130.9265085404622
2018,3,2018Q3,tamil nadu,10812101,22361948450.27646,2068.2334035056147
2018,3,2018Q3,telangana,19955785,33180363175.151356,1662.693959428374
2018,3,2018Q3,tripura,446745,527779192.51871157,1181.3880234109201
2018,3,2018Q3,uttar pradesh,29327534,40693763120.758385,1387.5617063732118
2018,3,2018Q3,uttarakhand,2523526,4119317467.9760265,1632.3657723265092
2018,3,2018Q3,west bengal,54031451,38668036734.002266,715.6579365970066
2018,4,2018Q4,andaman & nicobar islands,31139,107983057.52065912,3467.775378806613
2018,4,2018Q4,andhra pradesh,35722329,57943164106.786865,1622.0432913762947
2018,4,2018Q4,arunachal pradesh,222216,597276469.6237385,2687.8193722492465
2018,4,2018Q4,assam,4296227,6693717176.148428,1558.045507406482
2018,4,2018Q4,bihar,18324599,32563096733.8254,1777.0155152549532
2018,4,2018Q4,chandigarh,603259,1354040230.1718202,2244.5421123792935
2018,4,2018Q4,chhattisgarh,6353226,10755271064.359688,1692.8834365973582
2018,4,2018Q4,dadra & nagar haveli & daman & diu,460719,718948346.7433174,1560.4920716170102
2018,4,2018Q4,delhi,24850974,31024643827.81318,1248.4276804528135
2018,4,2018Q4,goa,579647,1267443769.8483543,2186.5786760707024
2018,4,2018Q4,gujarat,16308079,26472137603.705414,1623.252965827883
2018,4,2018Q4,haryana,14526062,27650255494.451317,1903.4928733232252
2018,4,2018Q4,himachal pradesh,1486465,2782592809.741012,1871.9531302391997
2018,4,2018Q4,jammu & kashmir,1268516,3101815416.7378845,2445.231606647362
2018,4,2018Q4,jharkhand,7195365,11735730521.996979,1631.0125368201584
2018,4,2018Q4,karnataka,42808188,67783584568.181816,1583.425688753325
2018,4,2018Q4,kerala,4444604,7775997131.858362,1749.5365463061191
2018,4,2018Q4,ladakh,44498,157126695.5508374,3531.0956795999236
2018,4,2018Q4,lakshadweep,3019,9506907.55399945,3149.0253574029316
2018,4,2018Q4,madhya pradesh,22807607,35619617648.65941,1561.7428715191124
2018,4,2018Q4,maharashtra,45715147,76570396171.72795,1674.9458592297199
2018,4,2018Q4,manipur,285294,690125762.2015524,2418.9985145202927
2018,4,2018Q4,meghalaya,182356,368078549.99460316,2018.4614161014892
2018,4,2018Q4,mizoram,66234,213839671.52367637,3228.5483516574022
2018,4,2018Q4,nagaland,173326,459578755.86046314,2651.528079229101
2018,4,2018Q4,odisha,23730246,26644806732.25345,1122.820502250733
2018,4,2018Q4,puducherry,317336,629583184.6702774,1983.9639519949749
2018,4,2018Q4,punjab,5490558,11861935853.584469,2160.424469349831
2018,4,2018Q4,rajasthan,24362909,42987736624.69517,1764.4747031109941
2018,4,2018Q4,sikkim,181845,431701308.0315608,2374.007028136934
2018,4,2018Q4,tamil nadu,17123273,33652624050.336956,1965.314928421509
2018,4,2018Q4,telangana,30393583,51158381363.15648,1683.1967906895504
2018,4,2018Q4,tripura,538364,726298399.8778081,1349.0842624651873
2018,4,2018Q4,uttar pradesh,40312896,60754036465.70648,1507.0620693116784
2018,4,2018Q4,uttarakhand,3625698,6268906600.516947,1729.0206190689205
2018,4,2018Q4,west bengal,33555072,33751269225.912643,1005.8470214551363
2019,1,2019Q1,andaman & nicobar islands,40726,126352730.02408026,3102.5077352079816
2019,1,2019Q1,andhra pradesh,67981444,98042197867.21909,1442.1905758168227
2019,1,2019Q1,arunachal pradesh,293223,762934389.2826967,2601.891356689948
2019,1,2019Q1,assam,4947555,8430938338.259106,1704.0615694538224
2019,1,2019Q1,bihar,28578223,44383537984.84218,1553.0545053428332
2019,1,2019Q1,chandigarh,876820,1678862941.0300002,1914.7178908213775
2019,1,2019Q1,chhattisgarh,8806110,13924157587.499626,1581.1927840442177
