year,quarter,period,category,instrument,count,amount_inr,avg_ticket_inr,amount_lakh_cr,count_bn
2020,2,2020Q2,P2P,TOTAL,631268435,2243916310864.9,3554.6150994622435,2.2439163108649,0.631268435
2020,2,2020Q2,Retail,TOTAL,610011327,280729736148.84955,460.20413674851244,0.28072973614884955,0.610011327
2020,2,2020Q2,Utility,TOTAL,218793828,123986465830.5697,566.6817339590115,0.1239864658305697,0.218793828
2020,3,2020Q3,P2P,TOTAL,917047650,3287053651200.2812,3584.3869740032387,3.287053651200281,0.91704765
2020,3,2020Q3,Retail,TOTAL,911011891,447822255630.6803,491.56576336134816,0.4478222556306803,0.911011891
2020,3,2020Q3,Utility,TOTAL,219960397,170866832792.9354,776.8072576852795,0.1708668327929354,0.219960397
2020,4,2020Q4,P2P,TOTAL,1249592359,4474550699837.9,3580.808307293675,4.4745506998379,1.249592359
2020,4,2020Q4,Retail,TOTAL,1343719654,700734479235.8248,521.4885985702973,0.7007344792358249,1.343719654
2020,4,2020Q4,Utility,TOTAL,288560685,224533438864.62445,778.1151436642328,0.22453343886462446,0.288560685
2021,1,2021Q1,P2P,TOTAL,1447737856,5170856819481.144,3571.6803273818264,5.170856819481144,1.447737856
2021,1,2021Q1,Retail,TOTAL,1485134324,820548066550.2906,552.5076441168366,0.8205480665502907,1.485134324
2021,1,2021Q1,Utility,TOTAL,532828981,296840849652.8541,557.103423871109,0.2968408496528541,0.532828981
2021,2,2021Q2,P2P,TOTAL,1744381804,6163165772740.209,3533.1518355715484,6.163165772740209,1.744381804
2021,2,2021Q2,Retail,TOTAL,1473347416,954714808552.6382,647.9902826616409,0.9547148085526382,1.473347416
2021,2,2021Q2,Utility,TOTAL,732835741,362894718139.4824,495.19243922831873,0.36289471813948243,0.732835741
2021,3,2021Q3,P2P,TOTAL,2215589893,7429347604768.668,3353.2142515368787,7.429347604768668,2.215589893
2021,3,2021Q3,Retail,TOTAL,2278944000,1360427603452.4253,596.9552579845864,1.3604276034524252,2.278944
2021,3,2021Q3,Utility,TOTAL,778122768,432126040995.3407,555.3442962554988,0.4321260409953407,0.778122768
2021,4,2021Q4,P2P,TOTAL,2357658301,7988340721262.672,3388.2521134951658,7.988340721262672,2.357658301
2021,4,2021Q4,Retail,TOTAL,2708036931,1670584805340.616,616.8988266802245,1.670584805340616,2.708036931
2021,4,2021Q4,Utility,TOTAL,698907805,439185882358.44446,628.388865049868,0.43918588235844447,0.698907805
2022,1,2022Q1,P2P,TOTAL,3004148819,10273681605895.574,3419.8311151960193,10.273681605895574,3.004148819
2022,1,2022Q1,Retail,TOTAL,3643052357,2114880480789.1416,580.5243168480605,2.1148804807891417,3.643052357
2022,1,2022Q1,Utility,TOTAL,776357606,514075186444.3045,662.1628776112029,0.5140751864443045,0.776357606
2022,2,2022Q2,P2P,TOTAL,3425101859,11845669805590.191,3458.4868693653034,11.845669805590191,3.425101859
2022,2,2022Q2,Retail,TOTAL,4617039926,2647118147441.08,573.3366377306654,2.64711814744108,4.617039926
2022,2,2022Q2,Utility,TOTAL,911561731,602801004075.7869,661.2837985360608,0.6028010040757869,0.911561731
2022,3,2022Q3,P2P,TOTAL,3947241409,12809400422543.578,3245.1525243267884,12.809400422543579,3.947241409
2022,3,2022Q3,Retail,TOTAL,5549687895,3056326614657.4795,550.7204499573899,3.0563266146574795,5.549687895
2022,3,2022Q3,Utility,TOTAL,1040275543,718003996472.7179,690.205591493674,0.7180039964727178,1.040275543
2022,4,2022Q4,P2P,TOTAL,4324963928,14143480411753.057,3270.196155900299,14.143480411753057,4.324963928
2022,4,2022Q4,Retail,TOTAL,6322053632,3470158956748.4375,548.8974245937617,3.4701589567484374,6.322053632
2022,4,2022Q4,Utility,TOTAL,1079242404,770714348649.1868,714.1253399539208,0.7707143486491868,1.079242404
2023,1,2023Q1,P2P,TOTAL,4792470518,15924876498831.21,3322.895036916576,15.92487649883121,4.792470518
2023,1,2023Q1,Retail,TOTAL,7131649041,3770386639494.8447,528.6837052438801,3.770386639494845,7.131649041
2023,1,2023Q1,Utility,TOTAL,1172364563,829590564254.5071,707.62166516842,0.8295905642545071,1.172364563
2023,2,2023Q2,P2P,TOTAL,5374551578,17722778869084.047,3297.5362896562096,17.722778869084046,5.374551578
2023,2,2023Q2,Retail,TOTAL,8425354748,4219499939211.5576,500.8097659286307,4.219499939211557,8.425354748
2023,2,2023Q2,Utility,TOTAL,1316281943,985891275164.4216,748.997037000622,0.9858912751644217,1.316281943
2023,3,2023Q3,P2P,TOTAL,5929670663,18342686824683.375,3093.3736234523444,18.342686824683376,5.929670663
2023,3,2023Q3,Retail,TOTAL,9741914217,4605174500635.483,472.7176197670971,4.605174500635483,9.741914217
