year,quarter,period,state,count,amount_inr,avg_ticket_inr,volume_share,value_share,ticket_vs_national,merchant_volume_share,merchant_value_share,p2p_volume_share,p2p_value_share,utility_volume_share,utility_value_share,merchant_avg_ticket_inr
2026,2,2026Q2,haryana,1130714938,1263508678455.987,1117.4422800948148,0.029244428489809134,0.02777158612761831,0.9496368218409853,0.6793797049844936,0.2512858613159273,0.26792728460442433,0.6742381558960054,0.052693010411082056,0.0744759827880673,413.31444516858016
2026,2,2026Q2,tamil nadu,1049292967,1316704395266.619,1254.8491571721538,0.02713855818741395,0.028940813894879992,1.0664094125789583,0.6362785799554492,0.21628920238878677,0.3037431499338354,0.7123209819985551,0.059978270110715416,0.07138981561265821,426.558950549631
2026,2,2026Q2,jharkhand,815309961,908972692433.1244,1114.8799056965331,0.021086900906843394,0.019978979049362307,0.9474592372593955,0.6116229775831231,0.249520315400715,0.336081004902625,0.7039696138691633,0.05229601751425186,0.04651007073012163,454.8311556288932
2026,2,2026Q2,chhattisgarh,646201571,678401352461.2666,1049.829314731373,0.016713138739051326,0.014911082060784666,0.8921772441189614,0.6228797206065598,0.28205776627825946,0.30801823135771983,0.6632668985070574,0.06910204803572043,0.054675335214683096,475.3927631456904
2026,2,2026Q2,assam,549125066,519696079352.8696,946.4074971818344,0.014202384867227004,0.01142278218901567,0.8042862023387733,0.5731134043697069,0.2500860085436771,0.3578011243070809,0.7040920702101562,0.06908547132321219,0.045821921246166714,412.97808011716836
2026,2,2026Q2,kerala,294649816,335501492227.256,1138.6448387507426,0.0076207231230082315,0.007374233945681811,0.9676554083716505,0.6514389202944556,0.28997299659765574,0.280086541781516,0.6451133734083064,0.06847453792402844,0.06491362999403781,506.84146382252544
2026,2,2026Q2,punjab,282364073,369629734686.8381,1309.0537006343511,0.007302968823906832,0.008124363676495163,1.112474100929944,0.6267398225269261,0.2655027882458766,0.30540471768871247,0.6619466515120367,0.06785545978436144,0.07255056024208663,554.5481473966383
2026,2,2026Q2,uttarakhand,247026782,255234602776.5152,1033.2264409148768,0.006389017088643672,0.005609988973260029,0.8780676112498824,0.6637509490772543,0.2811667720244051,0.2810607596386047,0.6570178252384821,0.055188291284141,0.06181540273711286,437.6776312955447
2026,2,2026Q2,jammu & kashmir,187742125,203028380125.5166,1081.421551639072,0.004855698783637462,0.004462510025571638,0.9190252988116201,0.6257259525532696,0.2779017144956067,0.294052557464128,0.6723927978317762,0.08022148998260246,0.04970548767261715,480.28837874902285
2026,2,2026Q2,himachal pradesh,74853009,82068147069.82556,1096.390755244396,0.0019359728923538282,0.0018038361378481809,0.9317465884839996,0.6410482309401884,0.29532607703711733,0.2880898749173864,0.6474143740270152,0.07086189414242519,0.05725954893586736,505.0989379866187
2026,2,2026Q2,goa,55208797,69089808304.2454,1251.4275271066929,0.0014279016413550635,0.0015185756889352674,1.0635016061009321,0.6790263515432151,0.2963464382819354,0.2714000995167491,0.6580285758625696,0.04957354894003577,0.04562498585549507,546.1586131130234
2026,2,2026Q2,arunachal pradesh,40632514,47494947481.35698,1168.8902016094053,0.0010509055908786166,0.0010439263671833655,0.9933588480679637,0.6076597180277844,0.29460492686176665,0.3321073365039633,0.6773540731248855,0.06023294546825234,0.028041000013347788,566.7000825268285
2026,2,2026Q2,dadra & nagar haveli & daman & diu,33036223,26552512651.741745,803.7393576057937,0.0008544376912590924,0.0005836171959765509,0.6830424288944199,0.6929322398628923,0.26871933476586984,0.26083014998415527,0.6688696358219335,0.04623761015295241,0.06241102941219671,311.6903689510992
2026,2,2026Q2,chandigarh,25137055,25233291728.69225,1003.8284806510648,0.0006501362834139007,0.000554621069467475,0.8530843203445435,0.7096435123366679,0.32230234780427486,0.24622892379397665,0.6059331082675716,0.04412756386935542,0.07176454392815353,455.9138081053078
2026,2,2026Q2,tripura,22862994,26743110330.736546,1169.7116454098946,0.0005913207393178839,0.0005878064824833888,0.9940569362770043,0.5667725758052511,0.27722521152862095,0.34869155806977864,0.6627190397716191,0.08453586612497034,0.06005574869975992,572.140523675714
2026,2,2026Q2,meghalaya,22400813,24333710508.62982,1086.286935596035,0.0005793670463492955,0.0005348485124936037,0.9231600517561162,0.4837375322047463,0.23506601569263383,0.4452479470276369,0.7233089182977702,0.07101452076761679,0.04162506600959593,527.8671280388509
2026,2,2026Q2,puducherry,20671909,23907680131.681885,1156.529865320222,0.00053465125840439,0.0005254844776372311,0.9828546540888797,0.690502168909509,0.27457307373449147,0.2639419513698517,0.6572518490315736,0.04555587972063925,0.06817507723393494,459.88553589659506
2026,2,2026Q2,sikkim,14956244,18254633450.45656,1220.5359480934223,0.0003868232331906602,0.0004012320087242803,1.0372489920390024,0.5829696947977046,0.30894380339378397,0.352122498135227,0.6507654720427309,0.06490780706706845,0.040290724563484974,646.8209605881297
2026,2,2026Q2,nagaland,12358326,16371304304.889984,1324.7185990149462,0.00031963156124921465,0.00035983693288145317,1.1257866134217285,0.49223705540701873,0.22859772530254607,0.4360310611647565,0.7376066382230834,0.07173188342822483,0.03379563647437055,615.2069517610612
2026,2,2026Q2,manipur,10459691,16979159239.826668,1623.29453516616,0.0002705259081621863,0.0003731974233684047,1.3795256280764963,0.4352032005534389,0.1785029941325493,0.4820554450413497,0.7835198486780142,0.0827413544052114,0.03797715718943648,665.8106707801765
2026,2,2026Q2,ladakh,9257425,15460287202.182652,1670.0418531268308,0.00023943090721975703,0.0003398130182357008,1.419252936814085,0.5693385579683335,0.22972955480515242,0.35984336897139324,0.7248894325261384,0.07081807306027324,0.04538101266870925,673.8661312416125
2026,2,2026Q2,andaman & nicobar islands,7753095,10442295042.827309,1346.8550356763728,0.0002005234252085177,0.00022951887952701714,1.1445988382072965,0.6340176406970378,0.2927972450255215,0.2990283235275719,0.6626624644800384,0.06695403577539034,0.044540290494439985,621.9944345101169
2026,2,2026Q2,mizoram,4630626,6078019513.264366,1312.5697288583372,0.0001197649437262948,0.00013359325921230377,1.115462129866746,0.4819603224272485,0.20115976261824442,0.4464055183899542,0.7664167897779844,0.07163415918279732,0.0324234476037712,547.8380746101614
2026,2,2026Q2,lakshadweep,371196,370577513.7308949,998.3338013634168,9.600487720542692e-06,8.145195608875827e-06,0.8484147728710805,0.6700206898781237,0.2540470913203854,0.27423786894255325,0.7001322437286118,0.05574144117932305,0.04582066495100273,378.5312934878675
