month,leg,volume_mn,value_brl_bn,volume_share,value_share
2022-05,G2B,0.062,0.661,3.9e-05,0.000858
2022-05,G2G,0.011,2.089,7e-06,0.002711
2022-05,G2P,0.452,0.284,0.000287,0.000369
2022-05,Nao disponivel,0.114,0.01,7.2e-05,1.3e-05
2022-05,P2B,309.457,79.193,0.196461,0.102764
2022-05,P2G,3.438,0.913,0.002183,0.001185
2022-05,P2P,1111.309,301.574,0.70552,0.391338
2022-06,B2B,43.824,285.307,0.026824,0.369217
2022-06,B2G,0.795,0.803,0.000487,0.001039
2022-06,B2P,111.782,100.676,0.06842,0.130286
2022-06,G2B,0.06,0.765,3.7e-05,0.00099
2022-06,G2G,0.01,1.897,6e-06,0.002455
2022-06,G2P,0.365,0.358,0.000223,0.000464
2022-06,Nao disponivel,0.0,0.0,0.0,0.0
2022-06,P2B,336.05,79.447,0.205692,0.102812
2022-06,P2G,2.413,0.588,0.001477,0.000761
2022-06,P2P,1138.451,302.894,0.696833,0.391977
2022-07,B2B,47.547,299.63,0.027171,0.369084
2022-07,B2G,0.865,0.878,0.000494,0.001081
2022-07,B2P,120.843,105.75,0.069056,0.130262
2022-07,G2B,0.064,1.065,3.7e-05,0.001311
2022-07,G2G,0.012,1.71,7e-06,0.002106
2022-07,G2P,0.38,0.417,0.000217,0.000513
2022-07,Nao disponivel,0.157,0.017,9e-05,2e-05
2022-07,P2B,369.174,83.47,0.210965,0.102817
2022-07,P2G,2.591,0.611,0.001481,0.000753
2022-07,P2P,1208.294,318.276,0.690483,0.392051
2022-08,B2B,54.535,340.595,0.029337,0.383964
2022-08,B2G,1.017,0.943,0.000547,0.001063
2022-08,B2P,130.769,116.89,0.070347,0.131774
2022-08,G2B,0.066,1.032,3.6e-05,0.001164
2022-08,G2G,0.012,1.884,7e-06,0.002124
2022-08,G2P,0.656,0.399,0.000353,0.00045
2022-08,Nao disponivel,0.147,0.015,7.9e-05,1.6e-05
2022-08,P2B,407.404,92.227,0.219163,0.103971
2022-08,P2G,2.968,0.665,0.001597,0.00075
2022-08,P2P,1261.332,332.399,0.678534,0.374724
2022-09,B2B,54.902,330.413,0.02857,0.375435
2022-09,B2G,1.007,0.984,0.000524,0.001118
2022-09,B2P,133.658,117.969,0.069553,0.134044
2022-09,G2B,0.067,1.285,3.5e-05,0.00146
2022-09,G2G,0.015,1.967,8e-06,0.002236
2022-09,G2P,0.811,0.313,0.000422,0.000356
2022-09,Nao disponivel,0.127,0.01,6.6e-05,1.1e-05
2022-09,P2B,430.306,91.677,0.223923,0.104169
2022-09,P2G,3.015,0.654,0.001569,0.000743
2022-09,P2P,1297.761,334.808,0.67533,0.380429
2022-10,B2B,57.972,333.645,0.028293,0.371759
2022-10,B2G,1.1,1.185,0.000537,0.00132
2022-10,B2P,136.933,116.946,0.06683,0.130305
2022-10,G2B,0.064,1.376,3.1e-05,0.001533
2022-10,G2G,0.015,2.007,7e-06,0.002236
2022-10,G2P,1.131,0.302,0.000552,0.000337
2022-10,Nao disponivel,0.0,0.0,0.0,0.0
2022-10,P2B,472.337,95.561,0.230523,0.106477
2022-10,P2G,3.05,0.69,0.001489,0.000768
2022-10,P2P,1376.374,345.767,0.671737,0.385266
2022-11,B2B,61.19,340.583,0.029085,0.369638
2022-11,B2G,1.139,1.182,0.000541,0.001283
2022-11,B2P,143.501,121.774,0.06821,0.132163
2022-11,G2B,0.067,1.214,3.2e-05,0.001317
2022-11,G2G,0.011,2.108,5e-06,0.002288
2022-11,G2P,0.878,0.268,0.000417,0.000291
2022-11,Nao disponivel,0.0,0.0,0.0,0.0
2022-11,P2B,505.347,102.166,0.240207,0.110882
