month,banks_live,volume_mn,value_cr,provenance,avg_ticket_inr,value_lakh_cr,volume_yoy,value_yoy
2020-02,146.0,1325.69,222516.95,npci_ckan_mirror,1678.4991212123498,2.2251695,0.9663447989439178,1.0847194490539
2020-03,148.0,1246.84,206462.31,npci_ckan_mirror,1655.8845561579674,2.0646231,0.5594466818420591,0.5469893313927874
2020-04,153.0,999.57,151140.66,npci_ckan_mirror,1512.0567844172997,1.5114066,0.2785658552808301,0.06411313485417147
2020-05,155.0,1234.5,218391.6,npci_ckan_mirror,1769.0692588092345,2.183916,0.6829348092810208,0.43255242448160947
2020-06,155.0,1336.93,261835.0,npci_ckan_mirror,1958.4795015445836,2.61835,0.7718477482969759,0.7864605347680418
2020-07,164.0,1497.36,290537.86,npci_ckan_mirror,1940.3340546027675,2.9053786,0.8209634070704983,0.9847293441532641
2020-08,168.0,1618.83,298307.61,npci_ckan_mirror,1842.735864791238,2.9830761,0.7627592965644905,0.9307324836126543
2020-09,174.0,1800.14,329027.66,npci_ckan_mirror,1827.789283055762,3.2902766,0.8849238759397711,1.0378711153018494
2020-10,189.0,2071.62,386106.74,npci_ckan_mirror,1863.791332387214,3.8610674,0.8039813298965481,1.0176988976898715
2020-11,200.0,2210.23,390999.15,npci_ckan_mirror,1769.0428145487122,3.9099915,0.8134922914085514,1.066274006813646
2020-12,207.0,2234.16,416176.21,npci_ckan_mirror,1862.78605829484,4.1617621,0.7075512075817791,1.0549804869387218
2021-01,207.0,2302.73,431181.89,npci_ckan_mirror,1872.481315655765,4.3118189000000005,0.7645170188962622,0.9939695149396071
2021-02,213.0,2292.9,425062.76,npci_ckan_mirror,1853.8216232718391,4.2506276000000005,0.7295898739524322,0.9102489046340065
2021-03,216.0,2731.68,504886.44,npci_ckan_mirror,1848.2634862062907,5.0488644,1.1908825510891532,1.4454169867614093
2021-04,220.0,2641.06,493663.68,npci_ckan_mirror,1869.1876746457865,4.9366368,1.642196144342067,2.2662533033797785
2021-05,224.0,2539.57,490638.65,npci_ckan_mirror,1931.975295030261,4.9063865,1.0571648440664236,1.2466003729081154
2021-06,229.0,2807.51,547373.17,npci_ckan_mirror,1949.6748720396365,5.4737317,1.0999678367603392,1.090527125861707
2021-07,235.0,3247.82,606281.14,npci_ckan_mirror,1866.732577544322,6.0628114,1.169030827589892,1.086754339004218
2021-08,249.0,3555.55,639116.95,npci_ckan_mirror,1797.5192304987977,6.391169499999999,1.1963702179969484,1.142476184231438
